proposalId,originName,destinationName,wagonName,departureDateTime,arrivalDateTime,cost,fullPrice,isCompartment,compartmentCapacity,hasAirCondition,hasMedia,hasMedia,companyName,hasDiscount,isSpecialOffer,hasFreeFood,hasFoodOffer,isCharter,wagonClass,isFamilyCoupe,isTransitCar
11669979634,تهران,مشهد,5 ستاره زندگي با شام و صبحانه.,2024-04-29T23:25:00,2024-04-30T10:20:00,7920000,7920000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979687,تهران,مشهد,5 ستاره اكونومي پلاس,2024-04-30T20:55:00,2024-05-01T07:45:00,7920000,7920000,True,4,True,True,True,نورالرضا,False,False,False,False,False,EC,False,False
11669979695,تهران,مشهد,5 ستاره اکونومي پلاس ,2024-04-30T23:50:00,2024-05-01T10:55:00,7920000,7920000,True,4,True,True,True,نورالرضا,False,False,False,False,False,EC,False,False
11669979692,تهران,مشهد,3 ستاره 6 تخته اپتيما,2024-04-30T22:55:00,2024-05-01T09:30:00,2697000,2697000,True,6,True,False,False,ریل سیر کوثر,False,False,False,False,False,EL,False,False
11669979693,تهران,مشهد,4ستاره 4 تخته عرفان ,2024-04-30T22:55:00,2024-05-01T09:30:00,4150000,4150000,True,4,True,True,True,ریل سیر کوثر,False,False,False,False,False,EC,False,False
11669979683,تهران,مشهد,5 ستاره ايران ( با پذيرايي و شام ),2024-04-30T18:55:00,2024-05-01T06:05:00,7920000,7920000,True,4,True,True,True,بن ريل,False,False,False,False,False,EC,False,False
11669979684,تهران,مشهد,4 ستاره 4 تخته سروش ,2024-04-30T19:05:00,2024-05-01T06:35:00,3870500,3870500,True,4,True,True,True,بن ريل,False,False,False,False,False,EC,False,False
11669979688,تهران,مشهد,4 ستاره غزال با پذيرايي عصرانه ,2024-04-30T21:30:00,2024-05-01T08:15:00,4918000,4918000,True,4,True,True,True,بن ريل,False,False,False,False,False,V,False,False
11669979689,تهران,مشهد,4 ستاره 4 تخته غزال ,2024-04-30T21:30:00,2024-05-01T08:15:00,3922000,3922000,True,4,True,True,True,بن ريل,False,False,False,False,False,EC,False,False
11669979686,تهران,مشهد,4ستاره 4 تخته غدير,2024-04-30T20:10:00,2024-05-01T07:15:00,4469500,4469500,True,4,True,True,True,ريل ترابر سبا,False,False,False,False,False,EC,False,False
11669979691,تهران,مشهد,4 ستاره غزال,2024-04-30T22:10:00,2024-05-01T08:55:00,3814500,3814500,True,4,True,True,True,پارس لاریم,False,False,False,False,False,EC,False,False
11669979680,تهران,مشهد,3 ستاره 6 تخته كوير,2024-04-30T16:15:00,2024-05-01T03:15:00,2795500,2795500,True,6,True,False,False,جوپار,False,False,False,False,False,EL,False,False
11669979690,تهران,مشهد,5ستاره اكونومي پلاس فدك,2024-04-30T21:50:00,2024-05-01T08:35:00,7920000,7920000,True,4,True,True,True, فدک,False,False,False,False,False,V,False,False
11669979694,تهران,مشهد,5ستاره فدك باصبحانه سردوگرم-فطرس,2024-04-30T23:25:00,2024-05-01T10:20:00,7884500,7884500,True,4,True,True,True,فدک,False,False,False,False,False,LX,False,False
11669979671,تهران,مشهد,4ستاره4تخته اميد,2024-04-30T03:55:00,2024-04-30T15:25:00,3333000,3333000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979672,تهران,مشهد,3ستاره6تخته پارسي,2024-04-30T03:55:00,2024-04-30T15:25:00,2230500,2230500,True,6,True,False,False,رجا,False,False,False,False,False,EL,False,False
11669979673,تهران,مشهد,4 ستاره اتوبوسي صبا,2024-04-30T07:05:00,2024-04-30T19:15:00,2003500,2003500,False,4,True,True,True,رجا,False,False,False,False,False,S,False,False
11669979674,تهران,مشهد,4 ستاره اتوبوسي صبا,2024-04-30T07:05:00,2024-04-30T19:15:00,2003500,2003500,False,4,True,True,True,رجا,False,False,False,False,False,S,False,False
11669979675,تهران,مشهد,4ستاره 4تخته سرير,2024-04-30T14:55:00,2024-05-01T01:40:00,4754000,4754000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979676,تهران,مشهد,4 ستاره سرير با هتل اختياري,2024-04-30T14:55:00,2024-05-01T01:40:00,4754000,4754000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979677,تهران,مشهد,4ستاره 4تخته نوين,2024-04-30T15:55:00,2024-05-01T02:30:00,4410000,4410000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979678,تهران,مشهد,4ستاره4تخته سپهر,2024-04-30T15:55:00,2024-05-01T02:30:00,4040500,4040500,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979679,تهران,مشهد,4 ستاره سپهر با هتل اختياري,2024-04-30T15:55:00,2024-05-01T02:30:00,4040500,4040500,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
