id,name,type,province,city,lat,long,region,placeType,buildingSize,bedrooms,bathrooms,iranianToilets,toilets,reservation_type,reviewsCount,reviewsScore,baseCapacity,extraCapacity,mainPrice,discount,finalPrice
660d29ab46c2eb001b9417a2,اجاره آپارتمان یک خوابه رز سعادت آباد,apartment,تهران,تهران,35.781215,51.381563,city,personalRoom,80.0,1.0,1.0,0.0,1.0,preApprove,6.0,4.5,2.0,1.0,19800000.0,0.0,19800000.0
6198ff0dcbea03001c8981c7,اجاره آپارتمان سه خوابه فقیهی - واحد ۴,apartment,فارس,شیراز,29.62226803099624,52.483016140759,city,personalRoom,135.0,3.0,1.0,1.0,1.0,preApprove,11.0,4.2,6.0,2.0,35000000.0,0.0,35000000.0
641673d32f42d8001dc62c4c,اجاره آپارتمان دوخوابه فرهنگ شهر واحد 5,apartment,فارس,شیراز,29.56274029330079,52.52520561218262,city,personalRoom,110.0,2.0,1.0,1.0,1.0,preApprove,6.0,4.7,4.0,2.0,26000000.0,5.0,24700000.0
656cae0f880594001bc77dd2,اجاره آپارتمان یک خوابه ایران ۲,apartment,فارس,شیراز,29.729784541917503,52.42901422083378,city,personalRoom,120.0,1.0,1.0,1.0,1.0,instant,12.0,4.9,3.0,3.0,8000000.0,5.0,7600000.0
619902aa7b27b6001bfad7f1,اجاره آپارتمان سه خوابه فقیهی واحد ۸,apartment,فارس,شیراز,29.621932855455672,52.483399361371994,city,personalRoom,135.0,3.0,1.0,1.0,1.0,preApprove,3.0,4.7,6.0,3.0,33000000.0,0.0,33000000.0
63e21901e45f81001b482195,اجاره آپارتمان سه خوابه قصر 7,apartment,فارس,شیراز,29.625868620353234,52.53670524805784,city,personalRoom,171.0,3.0,2.0,1.0,1.0,preApprove,17.0,4.2,6.0,0.0,25000000.0,0.0,25000000.0
62f37fc53aebc8001c95aef7,اجاره آپارتمان دوخوابه ساحلی سیستان,apartment,هرمزگان,قشم,26.938139784772503,56.25039696693421,coastal,personalRoom,135.0,2.0,2.0,1.0,1.0,instant,0.0,0.0,4.0,2.0,35000000.0,0.0,35000000.0
64da6afd70d643001baf6e1d,اجاره آپارتمان سه خوابه نوجوان,apartment,فارس,شیراز,29.629639862202943,52.51807663589716,city,personalRoom,100.0,3.0,1.0,1.0,0.0,instant,8.0,4.1,6.0,4.0,26000000.0,0.0,26000000.0
64df3812295e4e001ba383cc,اجاره آپارتمان دوخوابه گلها معالی آباد,apartment,فارس,شیراز,29.681771,52.467984,city,personalRoom,100.0,2.0,1.0,1.0,1.0,preApprove,3.0,4.3,4.0,2.0,19800000.0,0.0,19800000.0
6451db20d86d11001c897f03,اجاره آپارتمان دوخوابه شمس شیرازی,apartment,فارس,شیراز,29.606121504517187,52.52490118145943,city,personalRoom,100.0,2.0,1.0,2.0,0.0,preApprove,13.0,4.5,4.0,4.0,8000000.0,0.0,8000000.0
63a9a4bdc6b9b3001cd71403,اجاره آپارتمان یک خوابه توحید 4,apartment,تهران,تهران,35.69970781083909,51.37800771743059,city,personalRoom,60.0,1.0,1.0,1.0,0.0,instant,53.0,4.1,2.0,2.0,15000000.0,0.0,15000000.0
640d83e3065620001d30737e,اجاره آپارتمان یک خوابه هفت تنان,apartment,فارس,شیراز,29.622987343088308,52.56689619272947,city,personalRoom,60.0,1.0,1.0,1.0,0.0,preApprove,0.0,0.0,3.0,2.0,8000000.0,0.0,8000000.0
65f8178b26b6b4001b5c2204,اجاره آپارتمان یک خوابه جکوزی دار کاوان روم بازار بزرگ تهران 1,apartment,تهران,تهران,35.668802,51.411179,city,personalRoom,70.0,1.0,1.0,1.0,1.0,preApprove,10.0,4.2,2.0,2.0,32100000.0,25.0,24080000.0
6009f92c627970a8e4c8afc4,اجاره آپارتمان دو خوابه بهراد,apartment,فارس,شیراز,29.572696000464607,52.56524696946144,city,personalRoom,120.0,2.0,1.0,1.0,1.0,instant,9.0,4.4,4.0,1.0,20000000.0,0.0,20000000.0
63e21429e45f81001b482049,آپارتمان سه خوابه قصر 6,apartment,فارس,شیراز,29.625868620353234,52.53670524805784,city,personalRoom,171.0,3.0,2.0,1.0,1.0,preApprove,10.0,4.7,6.0,0.0,25000000.0,0.0,25000000.0
64ba56393966ea001c5c446b,اجاره آپارتمان یک خوابه روماک 13,apartment,مازندران,نشتارود,36.750778,51.029384,coastal,personalRoom,70.0,1.0,1.0,0.0,1.0,preApprove,72.0,4.7,2.0,0.0,28000000.0,5.0,26600000.0
61f53f730b60d5001bb7e1a1,اجاره آپارتمان یک خوابه پونک واحد 3,apartment,تهران,تهران,35.778513,51.334893,city,personalRoom,65.0,1.0,1.0,1.0,1.0,preApprove,0.0,0.0,2.0,2.0,15000000.0,20.0,12000000.0
646b40af60ad21001b308e96,اجاره آپارتمان سه خوابه قصر 1,apartment,فارس,شیراز,29.625868620353234,52.53670524805784,city,unitRoom,171.0,3.0,1.0,1.0,1.0,instant,11.0,4.2,6.0,0.0,28750000.0,0.0,28750000.0
615ae96c890f59001b48968e,اجاره آپارتمان دوخوابه پاسداران واحد 5,apartment,فارس,شیراز,29.622198372866965,52.48273953795433,city,personalRoom,120.0,2.0,1.0,1.0,1.0,preApprove,9.0,4.6,4.0,0.0,22000000.0,0.0,22000000.0
615af1731291c9001b4ed702,اجاره آپارتمان دوخوابه پاسداران شیراز 2,apartment,فارس,شیراز,29.621667045886515,52.483111694455154,city,personalRoom,120.0,2.0,1.0,1.0,1.0,preApprove,18.0,4.3,4.0,2.0,20000000.0,0.0,20000000.0
64062bb327a0a0001b68fa46,اجاره آپارتمان دو خوابه گلستان 21,apartment,فارس,شیراز,29.820740624481815,52.334354035556316,rustic,personalRoom,120.0,2.0,1.0,1.0,1.0,instant,12.0,4.3,4.0,4.0,9800000.0,0.0,9800000.0
65f60b31096afa001c913479,اجاره آپارتمان دوخوابه شهرزاد معالی آباد,apartment,فارس,شیراز,29.678575379855808,52.458371333777905,city,personalRoom,150.0,2.0,1.0,0.0,2.0,instant,0.0,0.0,4.0,4.0,45000000.0,0.0,45000000.0
63e20f3a4e75b6001b25ab73,اجاره آپارتمان سه خوابه قصر 4,apartment,فارس,شیراز,29.625868620353234,52.53670524805784,city,personalRoom,171.0,3.0,2.0,1.0,1.0,preApprove,16.0,4.7,6.0,0.0,25000000.0,0.0,25000000.0
636b9c9777e32c001b151cb6,اجاره آپارتمان یک خوابه میرعماد مطهری,apartment,تهران,تهران,35.728093,51.42467,city,personalRoom,80.0,1.0,1.0,1.0,1.0,instant,110.0,4.6,2.0,2.0,15400000.0,0.0,15400000.0
63cc335f3da7da001d37b246,اجاره آپارتمان سه خوابه قصر 01,apartment,فارس,شیراز,29.625868620353234,52.53670524805784,city,personalRoom,171.0,3.0,2.0,1.0,1.0,preApprove,11.0,4.2,6.0,0.0,30000000.0,10.0,27000000.0
63e208fa04e3a1001c42fbe9,اجاره آپارتمان سه خوابه قصر 3,apartment,فارس,شیراز,29.625868620353234,52.53670524805784,city,personalRoom,171.0,3.0,2.0,1.0,1.0,preApprove,9.0,4.1,6.0,0.0,25000000.0,0.0,25000000.0
640a11f8a1d7d4001b39be3c,اجاره آپارتمان دوخوابه شهرک مطهری,apartment,فارس,شیراز,29.57297096876917,52.52094057097642,city,personalRoom,150.0,2.0,0.0,0.0,0.0,instant,28.0,4.2,4.0,6.0,16500000.0,0.0,16500000.0
